Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,99.5,37,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,38,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,37,0
Scripture - 3 Min - Novice - Psalm 23,100.0,37,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,100.0,40,0
Scripture - 5 Min - Novice - Psalm 51,100.0,40,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,99.9,37,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,100.0,37,0
Scripture - 1 Min - Novice - John 3 v 16,99.0,36,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,38,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,100.0,34,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,37,0
Scripture - 3 Min - Novice - Psalm 23,100.0,40,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,100.0,37,0
