Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,100.0,43,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,43,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,100.0,42,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,100.0,42,0
Scripture - 3 Min - Novice - Psalm 23,100.0,43,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,100.0,40,0
Scripture - 5 Min - Advanced - Selections 1,99.9,40,0
Scripture - 5 Min - Advanced - Selections 1,100.0,39,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,42,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,100.0,38,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,100.0,42,0
