Lesson,Accuracy,WPM,IdleTime

Day 20 - Part 1,100.0,57,0
Day 20 - Part 2,100.0,51,0
Day 20 - Part 3,100.0,41,0
Day 20 - Part 4,100.0,44,0
Day 20 - Part 5,100.0,47,0
Day 20 - Part 6,100.0,58,0
Day 20 - Part 7,100.0,48,0
Day 20 - Part 8,100.0,45,0
Day 20 - Part 9,100.0,52,0
Day 20 - Part 3,100.0,52,0
Day 20 - Part 4,100.0,53,0
Day 20 - Part 8,100.0,54,0
Day 20 - Part 5,100.0,47,0
Day 20 - Part 5,100.0,54,0
Day 20 - Part 7,100.0,49,0
Day 20 - Part 7,100.0,49,0
Day 20 - Part 7,100.0,52,0
Day 20 - Part 2,100.0,59,0
Day 20 - Part 3,100.0,49,0
Day 20 - Part 9,100.0,46,0
Day 20 - Part 3,100.0,55,0
Day 20 - Part 7,99.6,46,0
Day 20 - Part 7,100.0,48,0
Day 20 - Part 9,100.0,54,0
Day 20 - Part 7,100.0,49,0
Day 20 - Part 7,100.0,54,0
Day 20 - Part 4,100.0,58,0
Day 20 - Part 5,100.0,46,1
Day 20 - Part 1,100.0,57,0
Day 20 - Part 7,100.0,48,0
Day 20 - Part 5,100.0,49,0
Day 20 - Part 3,100.0,49,0
