Part,Lesson,Backspace,Forced100,Time

1,Day 23 - Part 2 - Learn 1,0,0,120
2,Day 27 - Part 3 - Learn 2,0,0,120
3,Day 26 - Part 2 - Learn 3,0,0,120
4,Day 24 - Part 2 - Learn 4,0,0,120
5,Day 25 - Part 2 - Learn 5,0,0,120
6,Day 27 - Part 4 - Learn 6,0,0,120
7,Day 23 - Part 3 - Learn 7,0,0,120
8,Day 24 - Part 3 - Learn 8,0,0,120
9,Day 25 - Part 3 - Learn 9,0,0,120
10,Day 26 - Part 3 - Learn 0,0,0,120
11,Day 28 - Part 5 - Left Hand,0,0,180
12,Day 28 - Part 6 - Right Hand,0,0,180
